image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,Ball Diamond,Muncie,IN,Ball State,Mid-American,1700,—,,40.2176773,-85.4216732,287.8858948
,Steller Field,Bowling Green,OH,Bowling Green,Mid-American,2500,1964,,41.3808751,-83.6284529,205.382782
,Bill Theunissen Stadium,Mount Pleasant,MI,Central Michigan,Mid-American,2042,2002,,43.575883,-84.779155,240.5145264
,Oestrike Stadium,Ypsilanti,MI,Eastern Michigan,Mid-American,2500,1971,,42.2573881,-83.6487222,242.4703522
,Olga Mural Field at Schoonover Stadium,Kent,OH,Kent State,Mid-American,1148,2005,,41.1359576,-81.3425485,334.628418
,Stanley G. McKie Field at Joseph P. Hayden Jr. Park,Oxford,OH,Miami (Ohio),Mid-American,1000,2002,,39.5127001,-84.7331527,266.9221802
,Ralph McKinzie Field,DeKalb,IL,Northern Illinois,Mid-American,1500,1965,,41.9347219,-88.7799009,267.4147339
,Bob Wren Stadium,Athens,OH,Ohio,Mid-American,4000,1998,,39.3246222,-82.1084233,195.0592499
,Scott Park Baseball Complex,Toledo,OH,Toledo,Mid-American,1000,—,,41.638412,-83.59611,188.2864227
,Hyames Field,Kalamazoo,MI,Western Michigan,Mid-American,1500,1939,,42.2849981,-85.602525,244.7003784
,E. S. Rose Park,Nashville,TN,Belmont,Missouri Valley,750,2011,[19],36.143457,-86.7831437,189.6276093
,Dozer Park,Peoria,IL,Bradley,Missouri Valley,7500,2002,[20],40.6876052,-89.5975345,148.9586639
,Charles H. Braun Stadium,Evansville,IN,Evansville,Missouri Valley,"1,200+",—,[21],37.9760469,-87.5331829,118.7902374
,Duffy Bass Field,Normal,IL,Illinois State,Missouri Valley,"1,000+",1988(Renovated 2008),[22],40.5153211,-88.9992329,240.4116974
,Bob Warn Field at Sycamore Stadium,Terre Haute,IN,Indiana State,Missouri Valley,2000,1978,[23],39.4788556,-87.4161037,153.7947693
,Hammons Field,Springfield,MO,Missouri State,Missouri Valley,10476,2004,[24],37.2115106,-93.2794258,394.5540466
,Reagan Field,Murray,KY,Murray State,Missouri Valley,800,1989(Renovated 2006),[25],36.6233693,-88.3174012,153.1013947
,Abe Martin Field,Carbondale,IL,Southern Illinois,Missouri Valley,2000,1964(Renovated 2011),[26],37.7046162,-89.2206542,126.2878494
,Les Miller Field at Curtis Granderson Stadium,Chicago,IL,UIC,Missouri Valley,1000,1996,,41.8654527,-87.6488105,180.5068054
,Emory G. Bauer Field,Valparaiso,IN,Valparaiso,Missouri Valley,500,1970,,41.4607871,-87.032599,239.4470825
,Falcon Baseball Field,Colorado Springs,CO,Air Force,Mountain West,1000,1957,,38.9970678,-104.8435166,2016.642334
,Pete Beiden Field at Bob Bennett Stadium,Fresno,CA,Fresno State,Mountain West,5757,1966,,36.8136886,-119.7559231,103.3406906
,William Peccole Park,Reno,NV,Nevada,Mountain West,3000,1988,,39.5482731,-119.8127651,1398.081787
,Santa Ana Star Field,Albuquerque,NM,New Mexico,Mountain West,1000,late 1960s,,35.0651231,-106.6324424,1553.991699
,Tony Gwynn Stadium,San Diego,CA,San Diego State,Mountain West,3000,1997,,32.774026,-117.0788554,133.036911
