game_info,year,n_venue
Ohio Valley Championship,2021,The Ballpark at Jackson  Jackson Tennessee
OHIO VALLEY CHAMPIONSHIP,2019,Rent One Park  Marion Illinois
Ohio Valley Championship,2022,Wild Health Field  Lexington Kentucky
OHIO VALLEY CHAMPIONSHIP ,2018,Choccolocco Park  Oxford Alabama
OHIO VALLEY TOURNAMENT,2019,Rent One Park  Marion Illinois
Ohio Valley Tournament,2022,Wild Health Field  Lexington Kentucky
Ohio Valley Tournament,2021,The Ballpark at Jackson  Jackson Tennessee
OHIO VALLEY TOURNAMENT,2018,Choccolocco Park  Oxford Alabama
OHIO VALLEY TOURNAMENT ,2018,Choccolocco Park  Oxford Alabama
OHIO VALLEY TOURNAMENT ,2017,Choccolocco Park  Oxford Alabama
Oklahoma State vs Kansas,2021,
Oklahoma vs Oklahoma State,2021,
Oklahoma vs West Virginia,2021,
Pac-12 Championship,2022,Scottsdale Stadium  Scottsdale Arizona
Pac-12 Tournament,2022,Scottsdale Stadium  Scottsdale Arizona
PATRIOT LEAGUE CHAMPIONSHIP,2019,
Patriot League Championship,2022,
Patriot League Championship,2021,
PATRIOT LEAGUE CHAMPIONSHIP ,2016,
PATRIOT LEAGUE CHAMPIONSHIP ,2017,
PATRIOT LEAGUE CHAMPIONSHIP ,2018,
Patriot League Championship If Necessary,2021,
Patriot League Tournament,2021,
PATRIOT LEAGUE TOURNAMENT,2019,
Patriot League Tournament,2022,
PATRIOT LEAGUE TOURNAMENT ,2016,
PATRIOT LEAGUE TOURNAMENT ,2017,
PATRIOT LEAGUE TOURNAMENT ,2018,
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY,2019,
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY ,2018,
Penn State vs VMI,2022,
Prairie View A&M vs Baylor,2021,
Round Rock Classic,2022,Dell Diamond  Round Rock Texas
Round Rock Classic,2021,Dell Diamond  Round Rock Texas
Rutgers vs Houston Baptist,2022,
Rutgers vs Richmond,2022,
Rutgers vs VCU,2022,
Sacramento State vs Long Beach State,2022,
Sanderson Ford College Baseball Classic,2022,Surprise Stadium Surprise AZ
SANDERSON FORD COLLEGE BASEBALL CLASSIC,2019,Surprise Stadium Surprise AZ
SANDERSON FORD COLLEGE BASEBALL CLASSIC,2020,Surprise Stadium Surprise AZ
SEC CHAMPIONSHIP,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Championship,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - 1st ROUND,2018,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - 1st ROUND,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 1st Round,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 1st Round,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 2nd Round,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - 2nd ROUND,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 2nd Round,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - 3rd ROUND,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 3rd Round,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 3rd Round,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - 4th ROUND,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 4th Round,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - 4th Round,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - Championship,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - SEMIFINAL,2019,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - Semifinal,2021,Hoover Metropolitan Stadium  Hoover Alabama
SEC Tournament - Semifinal,2022,Hoover Metropolitan Stadium  Hoover Alabama
SEC TOURNAMENT - SEMIFINAL ,2018,Hoover Metropolitan Stadium  Hoover Alabama
SHRINERS HOSPITALS FOR CHILDREN COLLEGE CLASSIC,2020,Minute Maid Park
Shriners Hospitals for Children College Classic,2022,Minute Maid Park
Shriners Hospitals for Children College Classic,2019,Minute Maid Park
Snowbird Classic,2022,
Snowbird Classic,2021,
SOUTHERN CONF CHAMPIONSHIP,2019,Fluor Field at  West End  Greenville South Carolina
