date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,campus_site,year,team,latitude,longitude,elevation,place,n_venue
2018-04-10,Wichita State,Oklahoma State,,10.0,10.0,2.0,7.0,8.0,1.0,Oklahoma State,2018,Oklahoma State,36.1310616,-97.0687453,278.1031494,,
2018-04-10,Western Kentucky,Vanderbilt,,2.0,3.0,0.0,3.0,6.0,1.0,Vanderbilt,2018,Vanderbilt,36.1433984,-86.8073934,161.9081268,,
2018-04-10,Texas Tech,Dallas Baptist,,5.0,10.0,2.0,6.0,10.0,0.0,Dallas Baptist,2018,Dallas Baptist,32.711911,-96.945362,145.1258698,,
2018-04-10,Grambling,Arkansas,,6.0,7.0,1.0,7.0,10.0,1.0,Arkansas,2018,Arkansas,36.0498883,-94.1822406,374.505188,,
2018-04-10,UC Davis,Stanford,,2.0,3.0,1.0,7.0,10.0,0.0,Stanford,2018,Stanford,37.43173,-122.1587444,18.79486275,,
2018-04-10,Coastal Carolina,Wake Forest,,9.0,14.0,1.0,2.0,6.0,1.0,Wake Forest,2018,Wake Forest,36.1298712,-80.2518555,289.337616,,
2018-04-10,Davidson,Duke,,0.0,4.0,0.0,5.0,6.0,0.0,Duke,2018,Duke,35.9980856,-78.9442361,125.2663422,,
2018-04-10,UT Martin,Tennessee,,0.0,5.0,1.0,9.0,14.0,0.0,Tennessee,2018,Tennessee,35.949736,-83.92927,275.5996094,,
2018-04-10,UAB,Alabama,,3.0,8.0,1.0,12.0,11.0,0.0,Alabama,2018,Alabama,33.2048713,-87.538621,65.01921082,,
2018-04-10,Auburn,Samford,,3.0,7.0,1.0,12.0,18.0,1.0,Samford,2018,Samford,33.462803,-86.7967674,212.5553284,,
2018-04-10,University of Mississippi,Southern Miss, AT OXFORD MS,11.0,14.0,0.0,3.0,6.0,2.0,unknown,2018,Southern Miss,34.362399,-89.52882559999999,,Swayze Field,Swayze Field
2018-04-10,University of Mississippi,Southern Miss, AT OXFORD MS,11.0,14.0,0.0,3.0,6.0,2.0,unknown,2018,Southern Miss,34.3619355,-89.5342191,,Vaught Hemingway Stadium,Vaught Hemingway Stadium
2018-04-10,University of Mississippi,Southern Miss, AT OXFORD MS,11.0,14.0,0.0,3.0,6.0,2.0,unknown,2018,Southern Miss,34.4004654,-89.5779919,,mTrade Park,mTrade Park
2018-04-10,Missouri,Missouri State,,8.0,10.0,0.0,6.0,10.0,2.0,Missouri State,2018,Missouri State,37.2115106,-93.2794258,394.5540466,,
2018-04-10,Louisiana Tech,LSU,,0.0,2.0,0.0,2.0,6.0,0.0,LSU,2018,LSU,30.4056564,-91.1879038,6.844009876,,
2018-04-10,Little Rock,Oklahoma,,0.0,3.0,2.0,13.0,8.0,1.0,Oklahoma,2018,Oklahoma,35.1908778,-97.4460294,348.3063049,,
2018-04-10,UCLA,Long Beach State,,2.0,3.0,0.0,5.0,8.0,2.0,Long Beach State,2018,Long Beach State,33.7783672,-118.1388338,9.692743301,,
2018-04-11,UT Martin,Tennessee,,1.0,3.0,2.0,15.0,12.0,0.0,Tennessee,2018,Tennessee,35.949736,-83.92927,275.5996094,,
2018-04-11,East Carolina,Elon,,3.0,7.0,0.0,0.0,2.0,1.0,Elon,2018,Elon,36.1085926,-79.5073424,209.4953918,,
2018-04-11,Mississippi State,Alabama State,,15.0,23.0,2.0,4.0,14.0,3.0,Alabama State,2018,Alabama State,32.3603134,-86.2884093,85.47280121,,
2018-04-11,Kentucky,Western Carolina,,7.0,13.0,0.0,5.0,12.0,1.0,Western Carolina,2018,Western Carolina,35.3006808,-83.1808101,642.9626465,,
2018-04-11,North Carolina State University,UNC Wilmington,,8.0,10.0,0.0,3.0,7.0,1.0,UNC Wilmington,2018,UNC Wilmington,34.2215559,-77.8733336,10.80797005,,
2018-04-11,Oral Roberts,Oklahoma,,3.0,6.0,1.0,20.0,18.0,1.0,Oklahoma,2018,Oklahoma,35.1908778,-97.4460294,348.3063049,,
2018-04-12,South Carolina,Arkansas,,3.0,12.0,2.0,2.0,13.0,0.0,Arkansas,2018,Arkansas,36.0498883,-94.1822406,374.505188,,
2018-04-12,Alabama,Texas A&M,,6.0,10.0,2.0,12.0,15.0,1.0,Texas A&M,2018,Texas A&M,30.6060601,-96.3413557,103.0995331,,
2018-04-13,Oregon State,Missouri State,,17.0,14.0,2.0,6.0,11.0,0.0,Missouri State,2018,Missouri State,37.2115106,-93.2794258,394.5540466,,
2018-04-13,UConn,Wichita State,,7.0,10.0,2.0,4.0,10.0,3.0,Wichita State,2018,Wichita State,37.721955,-97.2881177,426.8837891,,
2018-04-13,North Carolina,Virginia,,0.0,7.0,2.0,4.0,9.0,1.0,Virginia,2018,Virginia,38.0457546,-78.513342,173.6851654,,
2018-04-13,Northwestern,Indiana,,3.0,7.0,0.0,6.0,8.0,1.0,Indiana,2018,Indiana,39.1848834,-86.5223836,243.0321198,,
2018-04-13,University of Miami,Clemson,,12.0,19.0,2.0,11.0,10.0,2.0,Clemson,2018,Clemson,34.6787794,-82.8493165,192.0006256,,
2018-04-13,South Florida,East Carolina,,2.0,11.0,0.0,15.0,17.0,0.0,East Carolina,2018,East Carolina,35.5929511,-77.3671406,18.56173515,,
2018-04-13,Kentucky,Georgia,,6.0,8.0,2.0,4.0,7.0,0.0,Georgia,2018,Georgia,33.9408739,-83.3797097,209.9534607,,
2018-04-13,Alabama,Texas A&M,,6.0,11.0,2.0,9.0,9.0,3.0,Texas A&M,2018,Texas A&M,30.6060601,-96.3413557,103.0995331,,
2018-04-13,Kansas State,Texas Tech,,4.0,7.0,4.0,21.0,20.0,0.0,Texas Tech,2018,Texas Tech,33.5884529,-101.8765955,980.9846802,,
2018-04-13,UConn,Wichita State,,7.0,10.0,2.0,4.0,10.0,3.0,Wichita State,2018,Wichita State,37.721955,-97.2881177,426.8837891,,
2018-04-13,UCLA,Utah,,16.0,12.0,1.0,3.0,7.0,0.0,Utah,2018,Utah,40.7405609,-111.8926506,1290.605713,,
2018-04-13,Arizona State,Stanford,,1.0,8.0,0.0,3.0,7.0,0.0,Stanford,2018,Stanford,37.43173,-122.1587444,18.79486275,,
2018-04-13,Northwestern,Indiana,,0.0,8.0,0.0,12.0,17.0,1.0,Indiana,2018,Indiana,39.1848834,-86.5223836,243.0321198,,
2018-04-13,Oregon State,Missouri State,,10.0,10.0,1.0,2.0,8.0,1.0,Missouri State,2018,Missouri State,37.2115106,-93.2794258,394.5540466,,
2018-04-13,Duke,Florida State,,7.0,8.0,0.0,1.0,7.0,3.0,Florida State,2018,Florida State,30.4405434,-84.3040448,21.59014511,,
2018-04-13,Missouri,Florida,,1.0,2.0,0.0,3.0,7.0,1.0,Florida,2018,Florida,29.6364107,-82.3637638,29.34748268,,
2018-04-13,Notre Dame,North Carolina State University,,12.0,11.0,2.0,8.0,12.0,0.0,North Carolina State University,2018,North Carolina State University,35.7873196,-78.6796862,120.4100494,,
2018-04-13,Coastal Carolina,Troy,,2.0,6.0,1.0,4.0,6.0,0.0,Troy,2018,Troy,31.7982637,-85.952973,165.9943848,,
2018-04-13,Southern Miss,Florida International University,,5.0,8.0,2.0,0.0,9.0,1.0,Florida International University,2018,Florida International University,25.7525026,-80.3778939,1.718752861,,
2018-04-13,University of Mississippi,Vanderbilt,,11.0,14.0,0.0,3.0,7.0,0.0,Vanderbilt,2018,Vanderbilt,36.1433984,-86.8073934,161.9081268,,
2018-04-13,Texas,Oklahoma,,7.0,12.0,0.0,6.0,13.0,1.0,Oklahoma,2018,Oklahoma,35.1908778,-97.4460294,348.3063049,,
2018-04-13,Tennessee,LSU,,3.0,4.0,1.0,9.0,15.0,0.0,LSU,2018,LSU,30.4056564,-91.1879038,6.844009876,,
2018-04-13,Mississippi State,Auburn,,1.0,5.0,1.0,2.0,4.0,0.0,Auburn,2018,Auburn,32.5996377,-85.4895649,193.3800049,,
2018-04-14,Oregon State,Missouri State,,10.0,10.0,1.0,2.0,8.0,1.0,Missouri State,2018,Missouri State,37.2115106,-93.2794258,394.5540466,,
2018-04-14,University of Miami,Clemson,,6.0,8.0,2.0,1.0,6.0,2.0,Clemson,2018,Clemson,34.6787794,-82.8493165,192.0006256,,
2018-04-14,North Carolina,Virginia,,8.0,15.0,3.0,6.0,9.0,0.0,Virginia,2018,Virginia,38.0457546,-78.513342,173.6851654,,
2018-04-14,Duke,Florida State,,6.0,9.0,0.0,5.0,5.0,0.0,Florida State,2018,Florida State,30.4405434,-84.3040448,21.59014511,,
2018-04-14,Notre Dame,North Carolina State University,,2.0,8.0,0.0,12.0,13.0,1.0,North Carolina State University,2018,North Carolina State University,35.7873196,-78.6796862,120.4100494,,
2018-04-14,Mississippi State,Auburn,,7.0,11.0,0.0,2.0,5.0,1.0,Auburn,2018,Auburn,32.5996377,-85.4895649,193.3800049,,
2018-04-14,UCLA,Utah,,6.0,11.0,1.0,3.0,6.0,0.0,Utah,2018,Utah,40.7405609,-111.8926506,1290.605713,,
2018-04-14,Missouri,Florida,,2.0,6.0,2.0,10.0,13.0,1.0,Florida,2018,Florida,29.6364107,-82.3637638,29.34748268,,
2018-04-14,North Carolina,Virginia,,12.0,10.0,2.0,6.0,9.0,4.0,Virginia,2018,Virginia,38.0457546,-78.513342,173.6851654,,
2018-04-14,Coastal Carolina,Troy,,5.0,9.0,0.0,4.0,4.0,0.0,Troy,2018,Troy,31.7982637,-85.952973,165.9943848,,
2018-04-14,Arizona State,Stanford,,6.0,10.0,1.0,11.0,7.0,1.0,Stanford,2018,Stanford,37.43173,-122.1587444,18.79486275,,
2018-04-14,Kentucky,Georgia,,1.0,6.0,0.0,0.0,10.0,2.0,Georgia,2018,Georgia,33.9408739,-83.3797097,209.9534607,,
2018-04-14,Texas,Oklahoma,,5.0,9.0,2.0,3.0,7.0,1.0,Oklahoma,2018,Oklahoma,35.1908778,-97.4460294,348.3063049,,
2018-04-14,South Carolina,Arkansas,,0.0,1.0,1.0,2.0,4.0,0.0,Arkansas,2018,Arkansas,36.0498883,-94.1822406,374.505188,,
2018-04-14,Coastal Carolina,Troy,,3.0,7.0,0.0,2.0,6.0,1.0,Troy,2018,Troy,31.7982637,-85.952973,165.9943848,,
2018-04-14,Alabama,Texas A&M,,2.0,6.0,2.0,3.0,9.0,2.0,Texas A&M,2018,Texas A&M,30.6060601,-96.3413557,103.0995331,,
2018-04-14,Kentucky,Georgia,,7.0,9.0,1.0,9.0,12.0,1.0,Georgia,2018,Georgia,33.9408739,-83.3797097,209.9534607,,
2018-04-14,Kansas State,Texas Tech,,6.0,12.0,2.0,26.0,23.0,0.0,Texas Tech,2018,Texas Tech,33.5884529,-101.8765955,980.9846802,,
2018-04-14,South Carolina,Arkansas,,0.0,3.0,0.0,3.0,4.0,0.0,Arkansas,2018,Arkansas,36.0498883,-94.1822406,374.505188,,
2018-04-14,South Florida,East Carolina,,13.0,16.0,0.0,1.0,5.0,1.0,East Carolina,2018,East Carolina,35.5929511,-77.3671406,18.56173515,,
2018-04-14,University of Miami,Clemson,,3.0,8.0,1.0,8.0,8.0,0.0,Clemson,2018,Clemson,34.6787794,-82.8493165,192.0006256,,
2018-04-14,Southern Miss,Florida International University,,4.0,11.0,0.0,5.0,8.0,1.0,Florida International University,2018,Florida International University,25.7525026,-80.3778939,1.718752861,,
2018-04-14,Notre Dame,North Carolina State University,,5.0,14.0,2.0,13.0,13.0,2.0,North Carolina State University,2018,North Carolina State University,35.7873196,-78.6796862,120.4100494,,
2018-04-14,Missouri,Florida,,2.0,6.0,1.0,7.0,12.0,1.0,Florida,2018,Florida,29.6364107,-82.3637638,29.34748268,,
2018-04-14,Tennessee,LSU,,5.0,9.0,2.0,14.0,17.0,2.0,LSU,2018,LSU,30.4056564,-91.1879038,6.844009876,,
2018-04-15,South Florida,East Carolina,,5.0,10.0,1.0,4.0,10.0,1.0,East Carolina,2018,East Carolina,35.5929511,-77.3671406,18.56173515,,
2018-04-15,University of Mississippi,Vanderbilt,,7.0,7.0,1.0,8.0,8.0,0.0,Vanderbilt,2018,Vanderbilt,36.1433984,-86.8073934,161.9081268,,
2018-04-15,Mississippi State,Auburn,,5.0,10.0,0.0,7.0,8.0,0.0,Auburn,2018,Auburn,32.5996377,-85.4895649,193.3800049,,
2018-04-15,UConn,Wichita State,,7.0,12.0,1.0,15.0,16.0,2.0,Wichita State,2018,Wichita State,37.721955,-97.2881177,426.8837891,,
2018-04-15,UCLA,Utah,,12.0,15.0,2.0,4.0,9.0,1.0,Utah,2018,Utah,40.7405609,-111.8926506,1290.605713,,
2018-04-15,University of Mississippi,Vanderbilt,,7.0,11.0,0.0,8.0,7.0,1.0,Vanderbilt,2018,Vanderbilt,36.1433984,-86.8073934,161.9081268,,
2018-04-15,Southern Miss,Florida International University,,13.0,12.0,0.0,1.0,5.0,2.0,Florida International University,2018,Florida International University,25.7525026,-80.3778939,1.718752861,,
