game_info,year,n_venue
North Dakota State vs Long Beach State,2022,0
ODU BASEBALL TOURNAMENT ,2017,0
Ohio State vs Michigan,2021,0
Ohio Valley Championship,2021,"ÿThe Ballpark at Jackson in Jackson, Tennessee"
OHIO VALLEY CHAMPIONSHIP,2019,"ÿRent One ParkÿinÿMarion, Illinois"
Ohio Valley Championship,2022,"Wild Health Field in Lexington, Kentucky"
OHIO VALLEY CHAMPIONSHIP ,2018,"Choccolocco Park in Oxford, Alabama"
OHIO VALLEY TOURNAMENT,2019,"ÿRent One ParkÿinÿMarion, Illinois"
Ohio Valley Tournament,2022,"Wild Health Field in Lexington, Kentucky"
Ohio Valley Tournament,2021,"ÿThe Ballpark at Jackson in Jackson, Tennessee"
OHIO VALLEY TOURNAMENT,2018,"Choccolocco Park in Oxford, Alabama"
OHIO VALLEY TOURNAMENT ,2018,"Choccolocco Park in Oxford, Alabama"
OHIO VALLEY TOURNAMENT ,2017,"Choccolocco Park in Oxford, Alabama"
Oklahoma State vs Kansas,2021,0
Oklahoma vs Oklahoma State,2021,0
Oklahoma vs West Virginia,2021,0
Pac-12 Championship,2022,"ÿScottsdale Stadium in Scottsdale, Arizona"
Pac-12 Tournament,2022,"ÿScottsdale Stadium in Scottsdale, Arizona"
PATRIOT LEAGUE CHAMPIONSHIP,2019,0
Patriot League Championship,2022,0
Patriot League Championship,2021,0
PATRIOT LEAGUE CHAMPIONSHIP ,2016,0
PATRIOT LEAGUE CHAMPIONSHIP ,2017,0
PATRIOT LEAGUE CHAMPIONSHIP ,2018,0
Patriot League Championship If Necessary,2021,0
Patriot League Tournament,2021,0
PATRIOT LEAGUE TOURNAMENT,2019,0
Patriot League Tournament,2022,0
PATRIOT LEAGUE TOURNAMENT ,2016,0
PATRIOT LEAGUE TOURNAMENT ,2017,0
PATRIOT LEAGUE TOURNAMENT ,2018,0
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY,2019,0
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY ,2018,0
Penn State vs VMI,2022,0
Prairie View A&M vs Baylor,2021,0
Round Rock Classic,2022,"Dell Diamond in Round Rock, Texas"
Round Rock Classic,2021,"Dell Diamond in Round Rock, Texas"
Rutgers vs Houston Baptist,2022,0
Rutgers vs Richmond,2022,0
Rutgers vs VCU,2022,0
Sacramento State vs Long Beach State,2022,0
Sanderson Ford College Baseball Classic,2022,"Surprise Stadium, Surprise, AZ"
SANDERSON FORD COLLEGE BASEBALL CLASSIC,2019,"Surprise Stadium, Surprise, AZ"
SANDERSON FORD COLLEGE BASEBALL CLASSIC,2020,"Surprise Stadium, Surprise, AZ"
SEC CHAMPIONSHIP,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Championship,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - 1st ROUND,2018,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - 1st ROUND,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 1st Round,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 1st Round,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 2nd Round,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - 2nd ROUND,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 2nd Round,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - 3rd ROUND,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 3rd Round,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 3rd Round,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - 4th ROUND,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 4th Round,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - 4th Round,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - Championship,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - SEMIFINAL,2019,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - Semifinal,2021,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC Tournament - Semifinal,2022,"Hoover Metropolitan Stadium in Hoover, Alabama"
SEC TOURNAMENT - SEMIFINAL ,2018,"Hoover Metropolitan Stadium in Hoover, Alabama"
SHRINERS HOSPITALS FOR CHILDREN COLLEGE CLASSIC,2020,Minute Maid Park
Shriners Hospitals for Children College Classic,2022,Minute Maid Park
Shriners Hospitals for Children College Classic,2019,Minute Maid Park
Snowbird Classic,2022,0
Snowbird Classic,2021,0
SOUTHERN CONF CHAMPIONSHIP,2019,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
Southern Conf Championship,2022,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
Southern Conf Championship,2021,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
SOUTHERN CONF TOURNAMENT,2019,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
Southern Conf Tournament,2022,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
Southern Conf Tournament,2021,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
SOUTHERN CONF TOURNAMENT,2018,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
SOUTHERN CONF TOURNAMENT ,2018,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
SOUTHERN CONF TOURNAMENT ,2017,"ÿFluor Field at the West EndÿinÿGreenville, South Carolina."
SOUTHLAND CHAMPIONSHIP,2019,"Constellation Field in Sugar Land, Texas"
Southland Championship,2021,"Alumni Field ? Hammond, Louisiana"
Southland Championship,2022,0
