game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 1,2019,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 2,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Illinois State vs East Carolina,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Indiana vs Michigan,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Indiana vs Missouri State,2022,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Indiana vs Troy,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Iowa vs UC Irvine,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Ivy League Championship Series,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Jerry Bryson Classic,2022,3,3,3,3,3,3,3,3,3,3,0,2,0,0,0
KLEBERG BANK COLLEGE CLASSIC,2020,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Kansas State vs Baylor,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Kansas State vs CSU Bakersfield,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Kansas State vs Kansas,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Kansas State vs Oklahoma State,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Kansas vs Charleston Southern,2022,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Keith LeClair Classic,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Keith LeClair Classic ,2016,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Kleberg Bank College Classic,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
LECLAIR CLASSIC,2019,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
LECLAIR CLASSIC,2020,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
LECLAIR CLASSIC ,2017,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Liberty vs TCU,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
